,blue_gold,blue_kda,blue_win,blue_towers,blue_barons,blue_dragons,blue_mastery,red_gold,red_kda,red_win,red_towers,red_barons,red_dragons,red_mastery,win,teamId,id
132,38.90361786672396,2.183839271839272,0.32,3.28,0.2,1.08,1584867,41.728472912325394,3.498873015873016,0.4,4.52,0.4,1.68,1912264,0,100,BR1_2330059454
133,46.15297227682591,5.290857142857144,0.72,6.0,0.48,1.72,706076,39.58413441183222,3.492150072150072,0.4,5.2,0.36,1.36,1407173,1,100,BR1_2331674732
134,37.48377159472634,2.452849927849928,0.48,4.76,0.48,1.84,2172701,41.5721165827455,4.934865800865801,0.56,5.6,0.4,1.68,2991754,1,200,BR1_2331005470
135,43.24007158844525,4.640936507936508,0.48,5.08,0.52,1.84,1727902,41.98566120802662,3.7317142857142858,0.44,4.84,0.44,1.8,454153,1,200,BR1_2329702432
136,45.96324703560108,3.1586825396825398,0.52,5.04,0.4,1.36,4257033,39.51222539936897,3.6250014430014432,0.44,5.0,0.52,1.6,377487,1,100,BR1_2328929633
137,43.82121649279556,3.326759462759463,0.56,4.84,0.4,1.52,4037180,46.5045179653983,3.7409230769230777,0.52,4.0,0.24,1.16,1178228,0,100,BR1_2328286984
138,46.16128162158768,2.949095238095237,0.48,5.16,0.4,1.48,757604,47.99896123537046,6.328730158730158,0.64,5.72,0.56,1.6,571956,1,100,BR1_2328292656
139,48.124980859029534,2.8966507936507937,0.52,5.04,0.6,1.68,563960,40.68101662404074,2.4962879342879343,0.32,4.36,0.2,1.2,2073647,1,100,BR1_2328281912
140,52.65532303254934,5.1132442002442,0.44,4.6,0.28,1.32,1366312,47.67560069731817,4.02436507936508,0.48,4.52,0.44,1.64,374154,0,100,BR1_2328300197
141,60.69997413803313,3.203193003075356,0.6,4.16,0.16,0.92,189283,64.74711077154262,3.894667672197083,0.48,2.88,0.04,0.36,247597,0,100,BR1_2327622991
142,41.69136588132604,5.05984126984127,0.52,4.68,0.36,1.48,4692345,43.55270920720632,3.7218528138528137,0.64,5.76,0.32,1.72,507691,1,100,BR1_2326217027
143,42.988718666463576,4.268190476190476,0.76,6.44,0.72,2.16,748988,39.36523726868965,4.068841269841269,0.4,4.24,0.2,1.64,1158299,0,200,BR1_2332422592
144,52.09645630801963,3.2023760683760685,0.52,4.8,0.2,1.04,675034,43.40767581911209,3.9158412698412697,0.68,6.6,0.68,2.2,454949,1,200,BR1_2332441383
145,38.10274803729092,2.9256666666666664,0.44,4.72,0.4,1.72,6835763,41.36340772777845,3.3883492063492064,0.6,5.88,0.52,1.88,1793344,1,200,BR1_2331673454
146,42.67843279620963,3.997460317460317,0.44,4.6,0.48,1.36,840030,48.90261543782902,3.2825786435786437,0.56,6.12,0.52,1.8,125817,0,200,BR1_2330442249
147,52.28563244613763,5.531564102564103,0.72,5.6,0.4,1.72,1855233,38.04635699091973,2.478882783882784,0.24,3.8,0.2,1.36,160664,0,200,BR1_2330403771
148,37.35585239599669,1.760802641802642,0.36,3.6,0.32,1.2,1811059,38.106587221258,3.467373737373737,0.56,5.64,0.28,1.92,1540416,1,200,BR1_2330036342
149,44.46957998482,3.618150183150184,0.44,5.2,0.44,1.76,1860528,43.61828287001832,2.904190476190476,0.36,4.56,0.32,1.48,486212,0,100,BR1_2327989392
150,52.65456480800234,4.72031746031746,0.52,5.0,0.44,1.4,2833822,53.71514041879904,4.43903785103785,0.52,5.08,0.36,1.36,1623067,0,200,BR1_2327966217
151,47.10271733232772,4.94352380952381,0.52,5.88,0.4,1.6,666009,47.77280838748885,3.761974358974359,0.4,4.88,0.32,1.28,1238745,0,200,BR1_2327953235
152,45.25380560719497,2.781370775423408,0.52,6.08,0.4,1.8,3421482,41.48884517271763,3.3371269841269844,0.52,5.68,0.4,1.84,477376,1,200,BR1_2327245648
153,47.588092110799614,3.550063492063492,0.56,4.88,0.6,1.68,4497722,39.73498747809343,4.273809523809525,0.44,4.08,0.32,1.52,1450767,0,200,BR1_2331895277
154,50.92080418448912,3.4440805860805868,0.4,5.6,0.28,1.84,4767819,46.96576497595607,5.635887361005009,0.6,5.68,0.48,1.96,388763,1,200,BR1_2331462838
155,50.13627548867962,3.103356643356644,0.4,4.96,0.28,1.72,2492652,41.97350523995661,4.162333333333333,0.4,4.36,0.32,1.28,702129,1,200,BR1_2331359025
156,47.88984003250764,2.857670440670441,0.56,5.64,0.6,1.68,4371918,56.42597239640008,3.876082251082251,0.64,5.88,0.4,1.8,2367966,1,200,BR1_2330585969
157,36.8309835433384,2.403634920634921,0.44,4.76,0.4,1.4,690923,44.74894617263085,3.614952380952381,0.48,4.52,0.4,1.32,275681,0,200,BR1_2328994348
158,43.76333358373496,3.844396825396825,0.44,5.6,0.6,1.76,4642742,40.115920250832886,4.061507936507937,0.56,5.48,0.52,1.96,368855,0,200,BR1_2329032764
159,38.58198559761311,2.657206349206349,0.32,4.48,0.36,1.32,689576,38.41726447094559,4.335142857142857,0.68,5.64,0.6,1.84,380660,0,200,BR1_2327832146
160,40.93310961759322,4.688253968253968,0.48,4.88,0.52,1.68,1485531,38.39154421448631,3.673294372294372,0.32,4.04,0.4,1.56,925392,0,100,BR1_2327791507
161,39.44105856908901,2.9379523809523813,0.64,5.44,0.72,1.72,5557592,36.00060339500951,2.608333333333333,0.36,4.4,0.32,1.64,2722701,0,200,BR1_2327741414
162,39.04112865186587,3.530057720057721,0.6,5.32,0.4,1.68,1935182,45.819894878524735,3.893036075036077,0.56,5.4,0.44,1.72,1037789,0,200,BR1_2327656802
163,39.43986072204135,3.358090909090909,0.48,5.08,0.4,1.8,3582093,38.128429866397,2.4024754134754134,0.56,4.68,0.36,1.28,368907,1,200,BR1_2332094005
164,42.23348232749085,4.619702741702742,0.44,4.24,0.36,1.44,1251013,39.07993040795231,2.3409292929292933,0.44,4.04,0.4,1.44,2348817,0,200,BR1_2331396584
165,41.952814079697966,3.17612987012987,0.48,5.4,0.48,1.72,2594525,38.45082385291621,2.7015743145743145,0.52,5.04,0.6,1.72,1525659,1,200,BR1_2330682780
166,48.5163052360223,3.208714285714286,0.52,4.88,0.32,1.04,3043537,38.7413719021554,2.907855477855478,0.44,4.8,0.4,1.56,604279,0,200,BR1_2330005720
167,50.01791394782413,4.141134199134199,0.64,5.52,0.4,1.52,584453,39.92446730576891,3.396552669552669,0.4,4.72,0.32,1.8,1413223,0,200,BR1_2329325449
168,41.79830524461497,3.3699963369963366,0.44,4.96,0.52,1.96,4415668,41.0654438822832,4.678886002886003,0.68,5.76,0.6,1.88,1087191,0,200,BR1_2328122137
169,43.92861703300301,3.976205128205129,0.64,6.04,0.44,2.04,2375986,47.41337079470716,2.9863903318903318,0.48,5.04,0.28,1.4,1060676,1,200,BR1_2328070942
170,43.38980544237268,2.7357936507936507,0.48,5.2,0.4,2.08,912276,47.39167790439687,3.332933621933622,0.28,3.72,0.32,1.2,3201496,0,200,BR1_2327411632
